name,description,permissions,user_permissions
playnoise fart/micblow/asmr/cartoon/cbat/scream/rickroll/indianinsult/fnafscream/androidearrape,Plays a specific noise into your VC,speak,None
earrape (seconds),Plays earrape into a voice channel,speak,None
