name,description,permissions,user_permissions
memorygame,Sets up a game to test your visual memory,None,None
tictactoe,Starts a game of tictactoe with another user,None,None
truthordare,Generates a truth or dare question,None,None
typingrace,Race against others to see who can type the quickest,add_reactions,None
vocabularygame,Test your vocabulary with this game,add_reactions,None
wouldyourather,Generates a would you rather question,None,None
